happines;sadness;anger;surprise;fear;disgust;neutral
138,2;117,8;180,2;170,5;128,8;120,6;121,7
188,3;105,7;170,2;166,1;190,9;155,9;110,1
130,5;99,8;164,8;170,3;181,2;113,4;97,1
173,6;120,3;180,2;157,8;183,6;133,3;118,4
159,9;128,1;176,2;155,3;180,9;144,2;109,5
177,4;91,2;160,2;138,5;180,8;147,7;95,9
169,2;104,7;187,1;150,4;175,3;163,3;111,8
168,5;129,3;188,9;130,3;198,1;142,8;133,2
170,7;104,7;188,4;157,9;194,2;123,9;109,9
198,6;152,8;199,3;182,9;172,1;166,7;158,8
202,4;149,2;189,7;167,3;197,4;155,3;150,7
182,4;133,6;181,9;151,9;177,3;147,2;140,2
