happiness;sadness;anger;surprise;fear;disgust;neutral
271,8;180,5;245,7;199,1;238,8;172,9;185,2
198,6;130,2;205,7;170,9;150,2;167,9;146,2
245,4;193,2;270,7;210,2;280,8;240,1;202,8
278,9;210,9;280,1;254,8;270,4;250,7;222,9
249,3;178,1;218,9;207,4;220,7;217,3;185,2
280,3;224,9;282,1;254,2;269,4;250,1;237,7
256,1;213,9;260,8;221,9;240,2;234,4;218,8
275,9;243,8;280,4;260,3;277,1;254,2;251,6
238,8;198,1;250,5;225,9;270,1;223,8;200,7
271,5;230,8;270,4;242,4;237,1;249,9;237,5
230,9;196,2;250,1;227,7;243,6;200,1;210,9
