happiness;sadness;anger;surprise;fear;disgust;neutral
263,5;171,4;238,1;190,2;227,6;166,2;171,3
189,5;122,1;194,4;152,2;141;159,3;138,1
231,8;182,5;262,7;201,5;273,1;230,9;194,5
269,2;200,5;271,4;244,8;261,1;241,9;215
240,1;165,5;209,8;195,4;212,9;205,8;172,5
269,5;212,6;271,7;246,9;260,1;239,5;228,9
249,4;202,5;251,8;211,9;228,7;221,9;209,7
268,9;236,8;272,2;251,5;270,3;248,1;142,4
229,4;190,5;241,2;214,6;261,5;212,8;189,7
263,4;221,7;261,9;234,1;228,5;240;228,3
223,1;187,5;241,3;219,7;232,9;192,8;201,6
